Judul,Rating,Poster,Gendre,Durasi,Sinopsis
Singham Again,R17+,https://media.21cineplex.com/webcontent/gallery/pictures/173028817723172_290x426.jpg,"Action, Drama",149 Minutes,"Perjalanan petugas berani Bajirao Singham (Ajay Devgn) untuk melawan ketidakadilan berlanjut dalam instalmen ketiga ini, di mana tugas, negara, dan keluarga lebih dipertaruhkan daripada sebelumnya. Singham, yang didampingi oleh tim lama yang setia dan petugas baru yang berani, melawan segala rintangan dengan keyakinan bahwa kebaikan selalu menang atas kejahatan dalam drama aksi yang mendebarkan ini! 
"
Bhool Bhulaiyaa 3,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/173028807185255_290x426.jpg,"Horror, Comedy",158 Minutes,"Di kota Kolkata yang meriah, Ruhaan (Kartik Aryan), seorang clairvoyant yang mahir dalam eksorsisme, sebenarnya adalah seorang penipu ulung. Jika sesuatu berjalan salah selama aksinya, dia menyembunyikan ketidakmampuannya dengan menyalahkan hantu yang tidak ada. Ketika Putri Meera meminta bantuannya untuk mengusir roh terkenal dari kastil keluarganya, Ruhaan mencium peluang untuk mendapatkan keuntungan. Namun, saat dia menyelami sejarah kelam kastil tersebut, segalanya berbalik menjadi aneh. Dengan bantuan seorang spesialis restorasi, Ruhaan mengungkap skema jahat yang diatur oleh tiga pendeta nakal. Tetapi saat mereka berpikir telah memecahkan kasusnya, kengerian yang sebenarnya muncul dari bayang-bayang, bersembunyi di depan mata. Saat Ruhaan berlomba melawan waktu untuk mengungkap misteri, kekonyolan pun terjadi dalam perjalanan komedi yang mendebarkan dan menegangkan dari Bhool Bhulaiyaa 3. Penuh dengan liku-liku, bersiaplah untuk terhibur, terkejut, dan benar-benar terpesona! 
"
Red One (IMAX 2D),R13+,https://media.21cineplex.com/webcontent/gallery/pictures/173011047695881_290x426.jpg,"Action, Adventure",123 Minutes,"Setelah Sinterklas – Nama Kode: RED ONE – diculik, Kepala Keamanan Kutub Utara (Dwayne Johnson) harus bekerja sama dengan pemburu bayaran paling terkenal di dunia (Chris Evans) dalam misi keliling dunia untuk menyelamatkan Natal. 
"
You Will Die in 6 Hours,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/172976694182117_290x426.jpg,"Thriller, Mystery",91 Minutes,"Seseorang bernama Jun Woo (Jeong Jae Hyun) mendekati Jeong Yun (Park Ju Hyun) dan tiba-tiba mengatakan bahwa di masa depan, Jeong Yun akan ditikam sampai mati dalam 6 jam di hari ulang tahunnya yang ke-30. Jeong Yun meragukan kata-katanya, tetapi segera mengikutinya untuk mencari tahu siapa pembunuhnya agar terhindar dari kematian. Namun, saat mereka menyelami kasus tersebut lebih dalam, dia menyadari bahwa Jun Woo adalah kunci dari serangkaian pembunuhan yang terjadi baru-baru ini. Sekarang dia dihadapkan pada pertanyaan apakah Jun Woo adalah penyelamat hidupnya atau iblis yang mencoba menjebaknya. Bisakah dia selamat dari takdir kematiannya dalam 6 jam? 
"
Absolution,R17+,https://media.21cineplex.com/webcontent/gallery/pictures/172907313513116_290x426.jpg,"Action, Crime",112 Minutes,"Seorang gangster (Liam Neeson) berusaha untuk berhubungan kembali dengan anak-anaknya dan memperbaiki kesalahan masa lalunya. Namun, dunia hitam kriminal tidak rela melepaskannya begitu saja. 
"
Venom: The Last Dance (IMAX 2D),R13+,https://media.21cineplex.com/webcontent/gallery/pictures/172847270170535_290x426.jpg,Action,109 Minutes,"Eddie dan Venom kini sedang diburu. Dengan semakin dekatnya mereka, keduanya bersatu dan terpaksa mengambil keputusan berat. Apakah kali ini Eddie dan Venom akan berpisah? 
"
Venom: The Last Dance,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/17284681325846_290x426.jpg,Action,109 Minutes,"Eddie dan Venom kini sedang diburu. Dengan semakin dekatnya mereka, keduanya bersatu dan terpaksa mengambil keputusan berat. Apakah kali ini Eddie dan Venom akan berpisah? 
"
Red One,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/17284668972243_290x426.jpg,"Action, Adventure",123 Minutes,"Setelah Sinterklas – Nama Kode: RED ONE – diculik, Kepala Keamanan Kutub Utara (Dwayne Johnson) harus bekerja sama dengan pemburu bayaran paling terkenal di dunia (Chris Evans) dalam misi keliling dunia untuk menyelamatkan Natal. 
"
Dosa Musyrik,R17+,https://media.21cineplex.com/webcontent/gallery/pictures/172830352257006_290x426.jpg,Horror,92 Minutes,"Terdesak oleh hutang hingga putus asa, Nugie (Marthino Lio) terpaksa membawa ibunya yang sakit parah ke dukun sakti, Mbah Narto (Pritt Timothy). Melihat harta Mbah Narto, Nugie pun tergoda untuk mendapatkannya. Tapi malang, yang ia dapat bukan uang, melainkan keris keramat sang dukun. Sejak itu, Nugie harus menghadapi teror Ni Larapati yang sangat mengerikan! Bukan hanya Nugie yang mengalami teror, tapi orang-orang di sekitarnya pun mulai tewas satu per satu. 
"
Here,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/172803756862475_290x426.jpg,Drama,104 Minutes,"Berkisah tentang sebuah rumah dan semua orang yang pernah tinggal di sana. Melintasi generasi, membingkai keseharian hidup manusia dalam bentuk kisah cinta, kehilangan dan harapan. 
"
"Aku Jati, Aku Asperger",SEMUA UMUR,https://media.21cineplex.com/webcontent/gallery/pictures/172803865171167_290x426.jpg,Drama,88 Minutes,"Jati (Jefri Nichol), pemuda pengidap asperger yang maniak terhadap hal bertema perkereta apian, terancam tidak dapat menjalankan rutinitas hidupnya sehari-hari akibat putusnya hubungan kakaknya DARU (Dikta Wicaksono) dengan TIARA (Carissa Perusset) yang selama ini selalu terlibat dalam rutinitas harian Jati. Jadwalnya semakin terancam hancur karena Daru tidak tertarik untuk mencari pacar baru. Kesulitan Jati bertambah saat ia harus keluar dari keteraturannya sendiri dalam berstrategi demi meyakinkan Jenar (Hanggini), perempuan independen yang ditemuinya di tempat pelatihan sebagai pasangan yang cocok bagi Daru. 
"
Smile 2,R17+,https://media.21cineplex.com/webcontent/gallery/pictures/172795133889258_290x426.jpg,"Horror, Thriller",127 Minutes,"Skye Riley (Naomi Scott) bintang pop yang mulai mengalami kejadian-kejadian menakutkan. Tidak dapat dijelaskan dengan akal sehat, Riley yang sedang dalam tekanan ketenaran terpaksa menghadapi masa lalunya untuk mendapatkan kembali kendali atas hidupnya sebelum terlambat. 
"
Canary Black,R17+,https://media.21cineplex.com/webcontent/gallery/pictures/172733760722717_290x426.jpg,Action,103 Minutes,"Avery Graves (Kate Beckinsale) agen top yang diperas oleh teroris untuk mengkhianati negaranya sendiri demi menyelamatkan suaminya yang diculik. 
"
Panda Plan,SEMUA UMUR,https://media.21cineplex.com/webcontent/gallery/pictures/172733351568578_290x426.jpg,"Action, Comedy",99 Minutes,"Jackie Chan, bintang Kung Fu legendaris, diundang untuk mengadopsi seekor anak panda menggemaskan bernama Huhu. Dikenal karena pesona hingga matanya yang unik, Huhu menarik perhatian sindikat kejahatan internasional yang terkenal kejam. Bertekad untuk mendapatkan panda tersebut, mereka memberikan hadiah besar untuk kepala Huhu.

Menghadapi situasi mencekam seperti ini, Jackie bekerja sama dengan agennya yang cerdas, David, dan pengasuh panda yang sangat berdedikasi, Xiaozhu. 

Bersama-sama, trio dinamis ini menggunakan keterampilan dan taktik cerdas mereka untuk mengakali para penjahat dan menjaga Huhu tetap aman. 
"
Tebusan Dosa,R13+,https://media.21cineplex.com/webcontent/gallery/pictures/172733816680190_290x426.jpg,"Mystery, Horror",116 Minutes,"Wening (Happy Salma), seorang ibu mengalami kejadian tragis ketika Nirmala, anaknya yang berusia 11 tahun, hilang dalam kecelakaan motor di sebuah jembatan di atas sungai berarus deras. Kecelakaan itu juga merenggut nyawa Uti Yah, ibunda Wening. Wening merasa sangat berdosa karena membuat ibunya meninggal dan anaknya hanyut, tapi dia percaya anaknya masih hidup.

Dengan segala upaya dan penuh harapan, Wening mencari Nirmala, termasuk meminta bantuan Tetsuya (Shogen), peneliti dari Jepang. Wening juga meminta bantuan Mbah Gowa, seorang dukun misterius. Namun, di tengah pencarian, Wening selalu diteror oleh hantu Uti Yah.

Tirta (Putri Marino), seorang perempuan kreator podcast misteri, berminat memviralkan tragisnya kehidupan Wening, namun bantuannya malah membuat Tirta menyibak rahasia gelap masa lalu Wening yang mengakibatkan hilangnya Nirmala. Akankah Wening bersatu lagi dengan Nirmala? 
"
